"ENTREZID","SYMBOL","logFC","logCPM","LR","PValue","FDR"
81928,"CABLES2",0.140444786287428,2.62229603894243,0.202860842058051,0.652421499108952,0.739844598716089
1595,"CYP51A1",-0.0881117097437426,6.94646916202881,0.202390289498569,0.652798351770727,0.740206651849051
100420981,"LOC100420981",-0.23704667128019,0.867442367206956,0.20203297996639,0.653084863198017,0.740466212419342
51602,"NOP58",-0.0722057041857576,6.19886595729894,0.201761975727983,0.653302373208802,0.740600783944768
55304,"SPTLC3",0.117123096435151,3.22864634707597,0.201561911855842,0.653463058617629,0.740600783944768
7805,"LAPTM5",0.0751596151925435,10.7089461027943,0.201522479288807,0.653494740997169,0.740600783944768
64895,"PAPOLG",-0.108850211930461,4.31569236569551,0.201504923665185,0.65350884738737,0.740600783944768
51479,"ANKFY1",-0.0889991838204553,5.57628032289318,0.201462129267803,0.653543236868092,0.740600783944768
10520,"ZNF211",-0.242174449847546,2.48181752167723,0.201454677621218,0.653549225442976,0.740600783944768
83999,"KREMEN1",-0.0956667901983244,5.82106741418108,0.201263520686107,0.653702895741854,0.740709627568227
4137,"MAPT",0.254181866466927,2.00694797388214,0.200749668883098,0.654116414173184,0.74111285952726
51138,"COPS4",-0.0963635484617964,3.99398907030874,0.19932606298616,0.655265379321248,0.742349206942333
8916,"HERC3",0.11626628253002,3.6133355335698,0.199213247235006,0.655356640982449,0.742387171292684
9249,"DHRS3",0.0914360373309693,5.51088229813623,0.198708630530517,0.655765227525697,0.742784562502673
